match_id,start_date,era_label,venue,venue_type,win_loss_flag,format
377316,2009-07-05,Transition Era,"Beausejour Stadium, Gros Islet",Away,0.0,ODI
386530,2009-01-28,Transition Era,Rangiri Dambulla International Stadium,Away,1.0,ODI
386531,2009-01-31,Transition Era,R Premadasa Stadium,Away,1.0,ODI
386532,2009-02-03,Transition Era,R Premadasa Stadium,Away,1.0,ODI
386533,2009-02-05,Transition Era,R Premadasa Stadium,Away,1.0,ODI
386534,2009-02-08,Transition Era,R Premadasa Stadium,Away,0.0,ODI
403381,2009-09-12,Transition Era,R Premadasa Stadium,Away,0.0,ODI
403382,2009-09-11,Transition Era,R Premadasa Stadium,Away,1.0,ODI
403383,2009-09-14,Transition Era,R Premadasa Stadium,Away,1.0,ODI
415278,2009-09-26,Transition Era,SuperSport Park,Away,0.0,ODI
415281,2009-09-28,Transition Era,SuperSport Park,Away,0.0,ODI
415284,2009-09-30,Transition Era,New Wanderers Stadium,Away,1.0,ODI
416236,2009-10-25,Transition Era,Reliance Stadium,Away,0.0,ODI
416237,2009-10-28,Transition Era,"Vidarbha Cricket Association Stadium, Jamtha",Home,1.0,ODI
416238,2009-10-31,Transition Era,Feroz Shah Kotla,Home,1.0,ODI
416239,2009-11-02,Transition Era,"Punjab Cricket Association Stadium, Mohali",Home,0.0,ODI
416240,2009-11-05,Transition Era,"Rajiv Gandhi International Stadium, Uppal",Home,0.0,ODI
416241,2009-11-08,Transition Era,Nehru Stadium,Away,0.0,ODI
430886,2009-12-15,Transition Era,Madhavrao Scindia Cricket Ground,Away,1.0,ODI
430887,2009-12-18,Transition Era,"Vidarbha Cricket Association Stadium, Jamtha",Home,0.0,ODI
430888,2009-12-21,Transition Era,Barabati Stadium,Home,1.0,ODI
430889,2009-12-24,Transition Era,Eden Gardens,Home,1.0,ODI
430890,2009-12-27,Transition Era,Feroz Shah Kotla,Home,0.0,ODI
433558,2011-02-19,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
433578,2011-03-06,Transition Era,M Chinnaswamy Stadium,Home,1.0,ODI
433582,2011-03-09,Transition Era,Feroz Shah Kotla,Home,1.0,ODI
433586,2011-03-12,Transition Era,"Vidarbha Cricket Association Stadium, Jamtha",Home,0.0,ODI
433599,2011-03-20,Transition Era,"MA Chidambaram Stadium, Chepauk",Home,1.0,ODI
433601,2011-03-24,Transition Era,"Sardar Patel Stadium, Motera",Home,1.0,ODI
433605,2011-03-30,Transition Era,"Punjab Cricket Association Stadium, Mohali",Home,1.0,ODI
433606,2011-04-02,Transition Era,Wankhede Stadium,Home,1.0,ODI
434259,2010-01-05,Transition Era,Shere Bangla National Stadium,Away,0.0,ODI
434260,2010-01-07,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
434262,2010-01-10,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
434263,2010-01-11,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
434264,2010-01-13,Transition Era,Shere Bangla National Stadium,Away,0.0,ODI
441827,2010-02-21,Transition Era,Sawai Mansingh Stadium,Home,1.0,ODI
441828,2010-02-24,Transition Era,Captain Roop Singh Stadium,Away,1.0,ODI
441829,2010-02-27,Transition Era,"Sardar Patel Stadium, Motera",Home,0.0,ODI
452146,2010-05-28,Transition Era,Queens Sports Club,Away,0.0,ODI
452147,2010-05-30,Transition Era,Queens Sports Club,Away,1.0,ODI
452149,2010-06-03,Transition Era,Harare Sports Club,Away,0.0,ODI
452150,2010-06-05,Transition Era,Harare Sports Club,Away,0.0,ODI
455232,2010-06-16,Transition Era,Rangiri Dambulla International Stadium,Away,1.0,ODI
455234,2010-06-19,Transition Era,Rangiri Dambulla International Stadium,Away,1.0,ODI
455236,2010-06-22,Transition Era,Rangiri Dambulla International Stadium,Away,0.0,ODI
455237,2010-06-24,Transition Era,Rangiri Dambulla International Stadium,Away,1.0,ODI
456662,2010-08-10,Transition Era,Rangiri Dambulla International Stadium,Away,0.0,ODI
456663,2010-08-16,Transition Era,Rangiri Dambulla International Stadium,Away,1.0,ODI
456665,2010-08-25,Transition Era,Rangiri Dambulla International Stadium,Away,1.0,ODI
456666,2010-08-22,Transition Era,Rangiri Dambulla International Stadium,Away,0.0,ODI
456668,2010-08-28,Transition Era,Rangiri Dambulla International Stadium,Away,0.0,ODI
463150,2011-01-12,Transition Era,Kingsmead,Away,0.0,ODI
463151,2011-01-15,Transition Era,New Wanderers Stadium,Away,1.0,ODI
463152,2011-01-18,Transition Era,Newlands,Away,1.0,ODI
463153,2011-01-21,Transition Era,St George's Park,Away,0.0,ODI
463154,2011-01-23,Transition Era,SuperSport Park,Away,0.0,ODI
464529,2010-10-20,Transition Era,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Home,1.0,ODI
467883,2010-11-28,Transition Era,Nehru Stadium,Away,1.0,ODI
467884,2010-12-01,Transition Era,Sawai Mansingh Stadium,Home,1.0,ODI
467885,2010-12-04,Transition Era,Reliance Stadium,Away,1.0,ODI
467886,2010-12-07,Transition Era,M Chinnaswamy Stadium,Home,1.0,ODI
467887,2010-12-10,Transition Era,"MA Chidambaram Stadium, Chepauk",Home,1.0,ODI
474477,2011-09-03,Transition Era,Riverside Ground,Away,1.0,ODI
474478,2011-09-06,Transition Era,The Rose Bowl,Away,0.0,ODI
474479,2011-09-09,Transition Era,Kennington Oval,Away,1.0,ODI
474480,2011-09-11,Transition Era,Lord's,Away,1.0,ODI
474481,2011-09-16,Transition Era,Sophia Gardens,Away,1.0,ODI
489221,2011-06-06,Transition Era,"Queen's Park Oval, Port of Spain",Away,1.0,ODI
489222,2011-06-08,Transition Era,"Queen's Park Oval, Port of Spain",Away,0.0,ODI
489223,2011-06-11,Transition Era,"Sir Vivian Richards Stadium, North Sound",Away,1.0,ODI
489224,2011-06-13,Transition Era,"Sir Vivian Richards Stadium, North Sound",Away,0.0,ODI
489225,2011-06-16,Transition Era,"Sabina Park, Kingston",Away,0.0,ODI
518956,2012-02-05,Transition Era,Melbourne Cricket Ground,Away,0.0,ODI
518957,2012-02-08,Transition Era,Western Australia Cricket Association Ground,Away,1.0,ODI
518959,2012-02-12,Transition Era,Adelaide Oval,Away,1.0,ODI
518962,2012-02-19,Transition Era,"Brisbane Cricket Ground, Woolloongabba",Away,0.0,ODI
518963,2012-02-21,Transition Era,"Brisbane Cricket Ground, Woolloongabba",Away,0.0,ODI
518965,2012-02-26,Transition Era,Sydney Cricket Ground,Away,0.0,ODI
518966,2012-02-28,Transition Era,Bellerive Oval,Away,1.0,ODI
521218,2011-10-14,Transition Era,"Rajiv Gandhi International Stadium, Uppal",Home,1.0,ODI
521219,2011-10-17,Transition Era,Feroz Shah Kotla,Home,1.0,ODI
521220,2011-10-20,Transition Era,"Punjab Cricket Association Stadium, Mohali",Home,1.0,ODI
521221,2011-10-23,Transition Era,Wankhede Stadium,Home,1.0,ODI
521222,2011-10-25,Transition Era,Eden Gardens,Home,1.0,ODI
535795,2012-03-13,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
535797,2012-03-16,Transition Era,Shere Bangla National Stadium,Away,0.0,ODI
535798,2012-03-18,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
536929,2011-11-29,Transition Era,Barabati Stadium,Home,1.0,ODI
536930,2011-12-02,Transition Era,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Home,1.0,ODI
536931,2011-12-05,Transition Era,"Sardar Patel Stadium, Motera",Home,0.0,ODI
536932,2011-12-08,Transition Era,Holkar Cricket Stadium,Home,1.0,ODI
536933,2011-12-11,Transition Era,"MA Chidambaram Stadium, Chepauk",Home,1.0,ODI
564781,2012-07-21,Transition Era,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Away,1.0,ODI
564782,2012-07-24,Transition Era,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Away,1.0,ODI
564783,2012-07-28,Transition Era,R Premadasa Stadium,Away,1.0,ODI
564784,2012-07-31,Transition Era,R Premadasa Stadium,Away,1.0,ODI
564785,2012-08-04,Transition Era,Pallekele International Cricket Stadium,Away,1.0,ODI
565812,2013-01-11,Modern Era,Saurashtra Cricket Association Stadium,Home,0.0,ODI
565813,2013-01-15,Modern Era,Nehru Stadium,Away,1.0,ODI
565814,2013-01-19,Modern Era,JSCA International Stadium Complex,Home,1.0,ODI
