Format,Player,Runs,Mins,BF,4s,6s,SR,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v Pakistan,Indore,27 Jan 1987,
ODI,RR Kulkarni,DNB,-,-,-,-,-,1,,v Pakistan,Indore,27 Jan 1987,
ODI,S Madan Lal,DNB,-,-,-,-,-,1,,v Pakistan,Eden Gardens,18 Feb 1987,
ODI,RMH Binny,DNB,-,-,-,-,-,1,,v Pakistan,Eden Gardens,18 Feb 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v Pakistan,Eden Gardens,18 Feb 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v Pakistan,Hyderabad (Deccan),20 Mar 1987,
ODI,G Sharma,DNB,-,-,-,-,-,1,,v Pakistan,Hyderabad (Deccan),20 Mar 1987,
ODI,N Kapil Dev,DNB,-,-,-,-,-,1,,v Pakistan,Jamshedpur,26 Mar 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v Pakistan,Jamshedpur,26 Mar 1987,
ODI,M Azharuddin,DNB,-,-,-,-,-,1,,v Pakistan,Jamshedpur,26 Mar 1987,
ODI,G Sharma,DNB,-,-,-,-,-,1,,v Pakistan,Jamshedpur,26 Mar 1987,
ODI,S Viswanath,DNB,-,-,-,-,-,1,,v Pakistan,Jamshedpur,26 Mar 1987,
ODI,RR Kulkarni,DNB,-,-,-,-,-,1,,v Pakistan,Jamshedpur,26 Mar 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v England,Sharjah,2 Apr 1987,
ODI,G Sharma,DNB,-,-,-,-,-,2,,v England,Sharjah,2 Apr 1987,
ODI,DB Vengsarkar,DNB,-,-,-,-,-,2,,v Australia,Sharjah,5 Apr 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Australia,Sharjah,5 Apr 1987,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v Australia,Sharjah,5 Apr 1987,
ODI,G Sharma,DNB,-,-,-,-,-,2,,v Australia,Sharjah,5 Apr 1987,
ODI,S Viswanath,DNB,-,-,-,-,-,2,,v Australia,Sharjah,5 Apr 1987,
ODI,B Arun,DNB,-,-,-,-,-,2,,v Australia,Sharjah,5 Apr 1987,
ODI,G Sharma,DNB,-,-,-,-,-,1,,v Pakistan,Sharjah,10 Apr 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v New Zealand,Bengaluru,14 Oct 1987,
ODI,L Sivaramakrishnan,DNB,-,-,-,-,-,1,,v New Zealand,Bengaluru,14 Oct 1987,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,L Sivaramakrishnan,DNB,-,-,-,-,-,2,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,NS Sidhu,DNB,-,-,-,-,-,2,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,M Azharuddin,DNB,-,-,-,-,-,2,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,KS More,DNB,-,-,-,-,-,2,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v Australia,Delhi,22 Oct 1987,
ODI,C Sharma,DNB,-,-,-,-,-,1,,v Australia,Delhi,22 Oct 1987,
ODI,M Prabhakar,DNB,-,-,-,-,-,1,,v Australia,Delhi,22 Oct 1987,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v Zimbabwe,Ahmedabad,26 Oct 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Zimbabwe,Ahmedabad,26 Oct 1987,
ODI,C Sharma,DNB,-,-,-,-,-,2,,v Zimbabwe,Ahmedabad,26 Oct 1987,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v Zimbabwe,Ahmedabad,26 Oct 1987,
ODI,M Azharuddin,DNB,-,-,-,-,-,2,,v Zimbabwe,Ahmedabad,26 Oct 1987,
ODI,KS More,DNB,-,-,-,-,-,2,,v Zimbabwe,Ahmedabad,26 Oct 1987,
ODI,DB Vengsarkar,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,NS Sidhu,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,C Sharma,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v New Zealand,Nagpur,31 Oct 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v West Indies,Eden Gardens,2 Jan 1988,
ODI,AK Sharma,DNB,-,-,-,-,-,1,,v West Indies,Eden Gardens,2 Jan 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,1,,v West Indies,Rajkot,5 Jan 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,1,,v West Indies,Rajkot,5 Jan 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v West Indies,Faridabad,19 Jan 1988,
ODI,C Sharma,DNB,-,-,-,-,-,1,,v West Indies,Faridabad,19 Jan 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,1,,v West Indies,Faridabad,19 Jan 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,1,,v West Indies,Thiruvananthapuram,25 Jan 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,1,,v Sri Lanka,Sharjah,25 Mar 1988,
ODI,C Sharma,DNB,-,-,-,-,-,1,,v New Zealand,Sharjah,27 Mar 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,1,,v New Zealand,Sharjah,27 Mar 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,1,,v New Zealand,Sharjah,27 Mar 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,1,,v New Zealand,Sharjah,1 Apr 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,1,,v New Zealand,Sharjah,1 Apr 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v West Indies,Sharjah,16 Oct 1988,
ODI,KS More,DNB,-,-,-,-,-,1,,v West Indies,Sharjah,16 Oct 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,1,,v West Indies,Sharjah,16 Oct 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,1,,v West Indies,Sharjah,16 Oct 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,2,,v Pakistan,Sharjah,19 Oct 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v West Indies,Sharjah,21 Oct 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,1,,v West Indies,Sharjah,21 Oct 1988,
ODI,DB Vengsarkar,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,M Azharuddin,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
