Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,DL Chahar,3.2,0,7,6,2.1,2,,v Bangladesh,Nagpur,10 Nov 2019,
T20,YS Chahal,4.0,0,25,6,6.25,2,,v England,Bengaluru,1 Feb 2017,
T20,B Kumar,4.0,1,4,5,1.0,2,,v Afghanistan,Dubai (DICS),8 Sep 2022,
T20,Kuldeep Yadav,2.5,0,17,5,6.0,2,,v South Africa,Johannesburg,14 Dec 2023,
T20,CV Varun,4.0,0,17,5,4.25,2,,v South Africa,Gqeberha,10 Nov 2024,
T20,B Kumar,4.0,0,24,5,6.0,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,Kuldeep Yadav,4.0,0,24,5,6.0,1,,v England,Manchester,3 Jul 2018,
T20,CV Varun,4.0,0,24,5,6.0,1,,v England,Rajkot,28 Jan 2025,
T20,Arshdeep Singh,4.0,0,51,5,12.75,2,,v New Zealand,Thiruvananthapuram,31 Jan 2026,
T20,Kuldeep Yadav,2.1,0,7,4,3.23,1,,v U.A.E.,Dubai (DICS),10 Sep 2025,
T20,R Ashwin,4.0,1,8,4,2.0,1,,v Sri Lanka,Visakhapatnam,14 Feb 2016,
T20,Arshdeep Singh,4.0,0,9,4,2.25,1,,v U.S.A.,New York,12 Jun 2024,
T20,BB Sran,4.0,0,10,4,2.5,1,,v Zimbabwe,Harare,20 Jun 2016,
T20,DJ Hooda,2.5,0,10,4,3.52,2,,v New Zealand,Mount Maunganui,20 Nov 2022,
T20,R Ashwin,3.2,0,11,4,3.3,2,,v Australia,Mirpur,30 Mar 2014,
T20,Harbhajan Singh,4.0,2,12,4,3.0,2,,v England,Colombo (RPS),23 Sep 2012,
T20,RP Singh,4.0,0,13,4,3.25,2,,v South Africa,Durban,20 Sep 2007,
T20,B Kumar,4.0,0,13,4,3.25,2,,v South Africa,Cuttack,12 Jun 2022,
T20,Ravi Bishnoi,4.0,2,13,4,3.25,1,,v Zimbabwe,Harare,6 Jul 2024,
T20,JJ Bumrah,4.0,0,15,4,3.75,2,,v New Zealand,Ahmedabad,8 Mar 2026,
T20,Ravi Bishnoi,2.4,0,16,4,6.0,2,,v West Indies,Lauderhill,7 Aug 2022,
T20,HH Pandya,4.0,0,16,4,4.0,2,,v New Zealand,Ahmedabad,1 Feb 2023,
T20,Mohammed Siraj,4.0,0,17,4,4.25,1,,v New Zealand,Napier,22 Nov 2022,
T20,Avesh Khan,4.0,0,18,4,4.5,2,,v South Africa,Rajkot,17 Jun 2022,
T20,Z Khan,3.0,0,19,4,6.33,1,,v Ireland,Nottingham,10 Jun 2009,
T20,AB Dinda,3.0,1,19,4,6.33,2,,v Sri Lanka,Pallekele,7 Aug 2012,
T20,PP Ojha,4.0,0,21,4,5.25,2,,v Bangladesh,Nottingham,6 Jun 2009,
T20,Kuldeep Yadav,4.0,1,21,4,5.25,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,B Kumar,3.3,0,22,4,6.28,2,,v Sri Lanka,Colombo (RPS),25 Jul 2021,
T20,Shivam Mavi,4.0,0,22,4,5.5,2,,v Sri Lanka,Wankhede,3 Jan 2023,
T20,Mukesh Kumar,3.3,0,22,4,6.28,2,,v Zimbabwe,Harare,14 Jul 2024,
T20,YS Chahal,4.0,0,23,4,5.75,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,HV Patel,3.1,0,25,4,7.89,2,,v South Africa,Visakhapatnam,14 Jun 2022,
T20,B Kumar,4.0,0,26,4,6.5,1,,v Pakistan,Dubai (DICS),28 Aug 2022,
T20,SN Thakur,4.0,0,27,4,6.75,1,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
T20,Kuldeep Yadav,4.0,0,30,4,7.5,1,,v Pakistan,Dubai (DICS),28 Sep 2025,
T20,HH Pandya,4.0,0,33,4,8.25,2,,v England,Southampton,7 Jul 2022,
T20,KH Pandya,4.0,0,36,4,9.0,1,,v Australia,Sydney,25 Nov 2018,
T20,Arshdeep Singh,4.0,0,37,4,9.25,1,,v New Zealand,Napier,22 Nov 2022,
T20,HH Pandya,4.0,0,38,4,9.5,1,,v England,Bristol,8 Jul 2018,
T20,YS Chahal,4.0,0,52,4,13.0,2,,v Sri Lanka,Indore,22 Dec 2017,
T20,CV Varun,4.0,0,53,4,13.25,2,,v South Africa,Ahmedabad,19 Dec 2025,
T20,Washington Sundar,1.2,0,3,3,2.25,2,,v Australia,Carrara,6 Nov 2025,
T20,DL Chahar,3.0,1,4,3,1.33,1,,v West Indies,Providence,6 Aug 2019,
T20,S Dube,2.0,0,4,3,2.0,1,,v U.A.E.,Dubai (DICS),10 Sep 2025,
T20,R Parag,1.2,0,5,3,3.75,2,,v Sri Lanka,Pallekele,27 Jul 2024,
T20,JJ Bumrah,4.0,1,7,3,1.75,2,,v Afghanistan,Bridgetown,20 Jun 2024,
T20,CV Varun,2.0,0,7,3,3.5,2,,v Namibia,Delhi,12 Feb 2026,
T20,HH Pandya,3.3,0,8,3,2.28,1,,v Pakistan,Mirpur,27 Feb 2016,
T20,B Kumar,4.0,0,9,3,2.25,2,,v Pakistan,Bengaluru,25 Dec 2012,
T20,AR Patel,3.0,0,9,3,3.0,2,,v New Zealand,Eden Gardens,21 Nov 2021,
T20,JJ Bumrah,4.0,0,11,3,2.75,1,,v Zimbabwe,Harare,20 Jun 2016,
T20,JJ Bumrah,4.0,1,12,3,3.0,2,,v New Zealand,Mount Maunganui,2 Feb 2020,
T20,Arshdeep Singh,3.1,0,12,3,3.78,2,,v West Indies,Lauderhill,6 Aug 2022,
T20,Kuldeep Yadav,4.0,1,12,3,3.0,2,,v West Indies,Lauderhill,7 Aug 2022,
T20,R Sai Kishore,4.0,0,12,3,3.0,1,,v Bangladesh,Hangzhou,6 Oct 2023,
T20,Kuldeep Yadav,4.0,0,13,3,3.25,1,,v West Indies,Eden Gardens,4 Nov 2018,
T20,R Ashwin,4.0,0,14,3,3.5,2,,v Sri Lanka,Ranchi,12 Feb 2016,
T20,JJ Bumrah,2.3,0,14,3,5.6,2,,v England,Bengaluru,1 Feb 2017,
T20,JJ Bumrah,4.0,0,14,3,3.5,2,,v Pakistan,New York,9 Jun 2024,
T20,Arshdeep Singh,3.5,0,14,3,3.65,1,,v Bangladesh,Gwalior,6 Oct 2024,
T20,CV Varun,3.0,0,14,3,4.66,2,,v Netherlands,Ahmedabad,18 Feb 2026,
T20,RD Chahar,4.0,0,15,3,3.75,2,,v Sri Lanka,Colombo (RPS),29 Jul 2021,
T20,Mohammed Shami,3.0,1,15,3,5.0,1,,v Scotland,Dubai (DICS),5 Nov 2021,
T20,RA Jadeja,4.0,0,15,3,3.75,1,,v Scotland,Dubai (DICS),5 Nov 2021,
T20,B Kumar,3.0,1,15,3,5.0,2,,v England,Birmingham,9 Jul 2022,
T20,AR Patel,3.0,1,15,3,5.0,2,,v West Indies,Lauderhill,7 Aug 2022,
T20,Avesh Khan,3.0,0,15,3,5.0,2,,v Zimbabwe,Harare,7 Jul 2024,
T20,Washington Sundar,4.0,0,15,3,3.75,2,,v Zimbabwe,Harare,10 Jul 2024,
T20,JJ Bumrah,4.0,0,15,3,3.75,1,,v South Africa,Ahmedabad,22 Feb 2026,
T20,IK Pathan,4.0,0,16,3,4.0,2,,v Pakistan,Johannesburg,24 Sep 2007,
T20,Kuldeep Yadav,2.3,0,16,3,6.4,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,JJ Bumrah,4.0,0,16,3,4.0,2,,v Australia,Visakhapatnam,24 Feb 2019,
T20,RA Jadeja,4.0,0,16,3,4.0,1,,v Namibia,Dubai (DICS),8 Nov 2021,
T20,AR Patel,4.0,0,16,3,4.0,2,,v Australia,Raipur,1 Dec 2023,
T20,Yuvraj Singh,4.0,0,17,3,4.25,2,,v England,Wankhede,22 Dec 2012,
T20,AR Patel,4.0,0,17,3,4.25,2,,v Zimbabwe,Harare,17 Jul 2015,
T20,NA Saini,4.0,1,17,3,4.25,1,,v West Indies,Lauderhill,3 Aug 2019,
T20,AR Patel,4.0,0,17,3,4.25,2,,v Australia,Mohali,20 Sep 2022,
T20,JJ Bumrah,4.0,0,17,3,4.25,1,,v New Zealand,Guwahati,25 Jan 2026,
T20,YS Chahal,4.0,0,18,3,4.5,1,,v Bangladesh,Colombo (RPS),18 Mar 2018,
T20,Washington Sundar,3.0,0,18,3,6.0,2,,v Afghanistan,Bengaluru,17 Jan 2024,
T20,Kuldeep Yadav,4.0,0,18,3,4.5,1,,v Pakistan,Dubai (DICS),14 Sep 2025,
T20,Kuldeep Yadav,4.0,0,18,3,4.5,2,,v Bangladesh,Dubai (DICS),24 Sep 2025,
T20,A Nehra,4.0,0,19,3,4.75,1,,v Afghanistan,Gros Islet,1 May 2010,
T20,L Balaji,3.3,0,19,3,5.42,2,,v Afghanistan,Colombo (RPS),19 Sep 2012,
T20,Yuvraj Singh,4.0,0,19,3,4.75,1,,v England,Pune,20 Dec 2012,
T20,Kuldeep Yadav,4.0,0,19,3,4.75,2,,v Bangladesh,North Sound,22 Jun 2024,
T20,Kuldeep Yadav,4.0,0,19,3,4.75,2,,v England,Providence,27 Jun 2024,
T20,R Ashwin,4.0,0,20,3,5.0,1,,v Namibia,Dubai (DICS),8 Nov 2021,
T20,YS Chahal,4.0,0,20,3,5.0,2,,v South Africa,Visakhapatnam,14 Jun 2022,
T20,Arshdeep Singh,2.4,0,20,3,7.5,2,,v Sri Lanka,Rajkot,7 Jan 2023,
T20,HH Pandya,3.0,0,20,3,6.66,2,,v South Africa,Bridgetown,29 Jun 2024,
T20,Arshdeep Singh,3.0,0,20,3,6.66,2,,v South Africa,Johannesburg,15 Nov 2024,
T20,YS Chahal,4.0,0,21,3,5.25,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,L Balaji,3.4,0,22,3,6.0,1,,v Pakistan,Colombo (RPS),30 Sep 2012,
T20,Z Khan,4.0,0,22,3,5.5,2,,v South Africa,Colombo (RPS),2 Oct 2012,
T20,R Ashwin,4.0,0,22,3,5.5,1,,v South Africa,Mirpur,4 Apr 2014,
T20,Washington Sundar,4.0,0,22,3,5.5,2,,v Bangladesh,Colombo (RPS),14 Mar 2018,
T20,HV Patel,4.0,0,22,3,5.5,2,,v West Indies,Eden Gardens,20 Feb 2022,
T20,R Ashwin,4.0,0,22,3,5.5,2,,v Zimbabwe,Melbourne,6 Nov 2022,
T20,Yuvraj Singh,3.0,0,23,3,7.66,1,,v Sri Lanka,Mohali,12 Dec 2009,
T20,JJ Bumrah,3.3,0,23,3,6.57,2,,v Australia,Adelaide,26 Jan 2016,
T20,A Nehra,4.0,0,23,3,5.75,2,,v Bangladesh,Mirpur,24 Feb 2016,
T20,SN Thakur,4.0,0,23,3,5.75,1,,v Sri Lanka,Indore,7 Jan 2020,
T20,AR Patel,4.0,0,23,3,5.75,2,,v England,Providence,27 Jun 2024,
T20,CV Varun,4.0,0,23,3,5.75,1,,v England,Eden Gardens,22 Jan 2025,
T20,R Vinay Kumar,3.0,0,24,3,8.0,1,,v Zimbabwe,Harare,12 Jun 2010,
T20,Yuvraj Singh,4.0,0,24,3,6.0,2,,v Afghanistan,Colombo (RPS),19 Sep 2012,
T20,R Ashwin,4.0,0,24,3,6.0,2,,v South Africa,Cuttack,5 Oct 2015,
T20,A Mishra,4.0,0,24,3,6.0,1,,v West Indies,Lauderhill,28 Aug 2016,
T20,Ravi Bishnoi,4.0,0,24,3,6.0,2,,v Nepal,Hangzhou,3 Oct 2023,
T20,Arshdeep Singh,4.0,0,24,3,6.0,2,,v Zimbabwe,Chennai,26 Feb 2026,
T20,YS Chahal,4.0,0,25,3,6.25,2,,v Australia,Canberra,4 Dec 2020,
T20,HH Pandya,4.0,0,25,3,6.25,1,,v Pakistan,Dubai (DICS),28 Aug 2022,
T20,CV Varun,4.0,0,25,3,6.25,2,,v South Africa,Durban,8 Nov 2024,
T20,Mohammed Shami,2.3,0,25,3,10.0,2,,v England,Wankhede,2 Feb 2025,
T20,RP Singh,4.0,0,26,3,6.5,2,,v Pakistan,Johannesburg,24 Sep 2007,
T20,R Vinay Kumar,4.0,0,26,3,6.5,1,,v Australia,Rajkot,10 Oct 2013,
T20,A Mishra,4.0,0,26,3,6.5,1,,v Bangladesh,Mirpur,28 Mar 2014,
T20,Ravi Bishnoi,4.0,0,26,3,6.5,1,,v Sri Lanka,Pallekele,28 Jul 2024,
T20,IK Pathan,4.0,0,27,3,6.75,2,,v Sri Lanka,Pallekele,7 Aug 2012,
T20,HH Pandya,4.0,1,27,3,6.75,1,,v Ireland,New York,5 Jun 2024,
T20,AR Patel,3.0,0,27,3,9.0,2,,v New Zealand,Ahmedabad,8 Mar 2026,
T20,A Nehra,4.0,0,28,3,7.0,2,,v England,Nagpur,29 Jan 2017,
T20,KH Pandya,4.0,0,28,3,7.0,1,,v New Zealand,Auckland,8 Feb 2019,
T20,NA Saini,3.5,0,28,3,7.3,2,,v Sri Lanka,Pune,10 Jan 2020,
T20,Kuldeep Yadav,4.0,0,28,3,7.0,1,,v West Indies,Providence,8 Aug 2023,
T20,Ravi Bishnoi,4.0,0,28,3,7.0,2,,v South Africa,Durban,8 Nov 2024,
T20,Ravi Bishnoi,4.0,0,28,3,7.0,2,,v England,Pune,31 Jan 2025,
T20,HH Pandya,4.0,0,29,3,7.25,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,Mohammed Siraj,4.0,0,29,3,7.25,2,,v U.S.A.,Wankhede,7 Feb 2026,
T20,Harbhajan Singh,4.0,0,30,3,7.5,1,,v England,Lord's,14 Jun 2009,
T20,S Dube,4.0,0,30,3,7.5,2,,v Bangladesh,Nagpur,10 Nov 2019,
T20,T Natarajan,4.0,0,30,3,7.5,2,,v Australia,Canberra,4 Dec 2020,
T20,HH Pandya,4.0,0,30,3,7.5,1,,v Pakistan,Melbourne,23 Oct 2022,
T20,Ravi Bishnoi,4.0,1,30,3,7.5,2,,v Bangladesh,Hyderabad,12 Oct 2024,
T20,IK Pathan,4.0,0,31,3,7.75,1,,v New Zealand,Chennai,11 Sep 2012,
T20,CV Varun,4.0,0,31,3,7.75,1,,v Bangladesh,Gwalior,6 Oct 2024,
T20,Mohammed Shami,4.0,0,32,3,8.0,2,,v Afghanistan,Abu Dhabi,3 Nov 2021,
T20,Arshdeep Singh,4.0,0,32,3,8.0,1,,v South Africa,Thiruvananthapuram,28 Sep 2022,
T20,Arshdeep Singh,4.0,0,32,3,8.0,1,,v Pakistan,Melbourne,23 Oct 2022,
T20,Avesh Khan,4.0,0,32,3,8.0,2,,v Nepal,Hangzhou,3 Oct 2023,
T20,Ravi Bishnoi,4.0,0,32,3,8.0,2,,v Australia,Thiruvananthapuram,26 Nov 2023,
T20,Mukesh Kumar,4.0,0,32,3,8.0,2,,v Australia,Bengaluru,3 Dec 2023,
T20,Arshdeep Singh,4.0,0,32,3,8.0,1,,v Afghanistan,Indore,14 Jan 2024,
T20,AR Patel,4.0,0,33,3,8.25,1,,v Australia,Hyderabad,25 Sep 2022,
T20,Harshit Rana,4.0,0,33,3,8.25,2,,v England,Pune,31 Jan 2025,
T20,AR Patel,4.0,0,33,3,8.25,2,,v New Zealand,Thiruvananthapuram,31 Jan 2026,
T20,YS Chahal,4.0,0,34,3,8.5,2,,v Sri Lanka,Dubai (DICS),6 Sep 2022,
T20,A Nehra,4.0,0,35,3,8.75,1,,v West Indies,Bridgetown,9 May 2010,
T20,B Kumar,4.0,0,35,3,8.75,1,,v Australia,Rajkot,10 Oct 2013,
T20,HH Pandya,4.0,0,35,3,8.75,2,,v West Indies,Providence,6 Aug 2023,
T20,Arshdeep Singh,4.0,0,35,3,8.75,1,,v Australia,Hobart,2 Nov 2025,
T20,AB Dinda,4.0,0,36,3,9.0,2,,v Pakistan,Ahmedabad,28 Dec 2012,
T20,Arshdeep Singh,4.0,0,36,3,9.0,2,,v Afghanistan,Bridgetown,20 Jun 2024,
T20,IK Pathan,4.0,0,37,3,9.25,2,,v England,Durban,19 Sep 2007,
T20,L Balaji,3.5,0,37,3,9.65,2,,v South Africa,Colombo (RPS),2 Oct 2012,
T20,Arshdeep Singh,4.0,0,37,3,9.25,2,,v Australia,Gros Islet,24 Jun 2024,
T20,Mukesh Kumar,3.4,0,37,3,10.09,2,,v Zimbabwe,Harare,7 Jul 2024,
T20,Arshdeep Singh,4.0,0,37,3,9.25,2,,v South Africa,Centurion,13 Nov 2024,
T20,Mohammed Shami,4.0,0,38,3,9.5,1,,v England,Birmingham,7 Sep 2014,
T20,JD Unadkat,4.0,0,38,3,9.5,1,,v Bangladesh,Colombo (RPS),8 Mar 2018,
T20,YS Chahal,4.0,0,38,3,9.5,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,Arshdeep Singh,4.0,0,38,3,9.5,1,,v West Indies,Lauderhill,12 Aug 2023,
T20,M Prasidh Krishna,4.0,0,41,3,10.25,2,,v Australia,Thiruvananthapuram,26 Nov 2023,
T20,SN Thakur,4.0,0,42,3,10.5,2,,v England,Ahmedabad,18 Mar 2021,
T20,YS Chahal,4.0,0,43,3,10.75,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,SN Thakur,4.0,0,45,3,11.25,2,,v England,Ahmedabad,20 Mar 2021,
T20,RA Jadeja,4.0,0,48,3,12.0,1,,v West Indies,Mirpur,23 Mar 2014,
T20,Umran Malik,4.0,0,48,3,12.0,1,,v Sri Lanka,Pune,5 Jan 2023,
T20,Kuldeep Yadav,4.0,0,52,3,13.0,2,,v Sri Lanka,Indore,22 Dec 2017,
T20,RK Singh,1.0,0,3,2,3.0,2,,v Sri Lanka,Pallekele,30 Jul 2024,
T20,Abhishek Sharma,1.0,0,3,2,3.0,2,,v England,Wankhede,2 Feb 2025,
T20,SA Yadav,1.0,0,5,2,5.0,2,,v Sri Lanka,Pallekele,30 Jul 2024,
T20,SK Raina,2.0,0,6,2,3.0,1,,v Sri Lanka,Visakhapatnam,14 Feb 2016,
T20,JJ Bumrah,3.0,1,6,2,2.0,1,,v Ireland,New York,5 Jun 2024,
T20,AR Patel,2.0,0,6,2,3.0,2,,v South Africa,Johannesburg,15 Nov 2024,
T20,Arshdeep Singh,2.0,0,7,2,3.5,1,,v New Zealand,Lucknow,29 Jan 2023,
T20,AR Patel,2.0,0,7,2,3.5,2,,v South Africa,Cuttack,9 Dec 2025,
T20,B Kumar,4.0,2,8,2,2.0,1,,v U.A.E.,Mirpur,3 Mar 2016,
T20,JJ Bumrah,2.0,0,9,2,4.5,2,,v New Zealand,Thiruvananthapuram,7 Nov 2017,
T20,B Kumar,2.0,0,9,2,4.5,2,,v Sri Lanka,Lucknow,24 Feb 2022,
T20,B Kumar,3.0,2,9,2,3.0,2,,v Netherlands,Sydney,27 Oct 2022,
T20,Umran Malik,2.1,0,9,2,4.15,2,,v New Zealand,Ahmedabad,1 Feb 2023,
T20,AB Agarkar,2.3,1,10,2,4.0,1,,v South Africa,Johannesburg,1 Dec 2006,
T20,JJ Bumrah,3.4,1,10,2,2.72,1,,v Scotland,Dubai (DICS),5 Nov 2021,
T20,JJ Bumrah,3.0,1,10,2,3.33,2,,v England,Birmingham,9 Jul 2022,
T20,YS Chahal,2.0,0,10,2,5.0,2,,v England,Birmingham,9 Jul 2022,
T20,PP Ojha,4.0,0,11,2,2.75,1,,v Zimbabwe,Harare,12 Jun 2010,
T20,RA Jadeja,3.0,0,11,2,3.66,1,,v Pakistan,Mirpur,27 Feb 2016,
T20,R Ashwin,3.0,0,11,2,3.66,1,,v West Indies,Lauderhill,28 Aug 2016,
T20,Washington Sundar,4.0,0,11,2,2.75,1,,v Zimbabwe,Harare,6 Jul 2024,
T20,Ravi Bishnoi,4.0,0,11,2,2.75,2,,v Zimbabwe,Harare,7 Jul 2024,
T20,S Dube,2.0,0,11,2,5.5,2,,v England,Wankhede,2 Feb 2025,
T20,CV Varun,4.0,0,11,2,2.75,1,,v South Africa,Dharamsala,14 Dec 2025,
T20,S Sreesanth,4.0,1,12,2,3.0,2,,v Australia,Durban,22 Sep 2007,
T20,B Kumar,4.0,0,12,2,3.0,2,,v West Indies,Lucknow,6 Nov 2018,
T20,Shivam Mavi,2.0,0,12,2,6.0,2,,v New Zealand,Ahmedabad,1 Feb 2023,
T20,JJ Bumrah,2.4,0,12,2,4.5,2,,v England,Providence,27 Jun 2024,
T20,Kuldeep Yadav,2.0,0,12,2,6.0,1,,v South Africa,Dharamsala,14 Dec 2025,
T20,PP Chawla,4.0,1,13,2,3.25,2,,v England,Colombo (RPS),23 Sep 2012,
T20,A Mishra,3.0,0,13,2,4.33,2,,v Australia,Mirpur,30 Mar 2014,
T20,R Ashwin,3.0,0,13,2,4.33,2,,v Sri Lanka,Pune,9 Feb 2016,
T20,AR Patel,2.0,0,13,2,6.5,1,,v Australia,Nagpur,23 Sep 2022,
T20,JJ Bumrah,4.0,0,13,2,3.25,2,,v Bangladesh,North Sound,22 Jun 2024,
T20,Arshdeep Singh,4.0,0,13,2,3.25,1,,v South Africa,Dharamsala,14 Dec 2025,
T20,P Kumar,3.0,0,14,2,4.66,1,,v Afghanistan,Gros Islet,1 May 2010,
T20,R Ashwin,4.0,0,14,2,3.5,2,,v Afghanistan,Abu Dhabi,3 Nov 2021,
T20,Mohammed Shami,2.0,0,14,2,7.0,2,,v Zimbabwe,Melbourne,6 Nov 2022,
T20,HH Pandya,4.0,1,14,2,3.5,1,,v U.S.A.,New York,12 Jun 2024,
T20,Arshdeep Singh,2.0,0,14,2,7.0,2,,v South Africa,Cuttack,9 Dec 2025,
T20,Z Khan,4.0,0,15,2,3.75,1,,v South Africa,Johannesburg,1 Dec 2006,
T20,AB Dinda,4.0,0,15,2,3.75,1,,v Zimbabwe,Harare,13 Jun 2010,
T20,R Ashwin,4.0,0,15,2,3.75,1,,v Bangladesh,Mirpur,28 Mar 2014,
T20,JD Unadkat,4.0,0,15,2,3.75,1,,v Sri Lanka,Wankhede,24 Dec 2017,
T20,B Kumar,4.0,0,15,2,3.75,2,,v England,Ahmedabad,20 Mar 2021,
T20,DL Chahar,1.5,0,15,2,8.18,2,,v West Indies,Eden Gardens,20 Feb 2022,
T20,JJ Bumrah,4.0,1,15,2,3.75,2,,v Ireland,Dublin (Malahide),20 Aug 2023,
T20,Washington Sundar,4.0,0,15,2,3.75,1,,v Bangladesh,Hangzhou,6 Oct 2023,
T20,R Ashwin,4.0,0,16,2,4.0,1,,v Pakistan,Colombo (RPS),30 Sep 2012,
T20,Yuvraj Singh,3.0,0,16,2,5.33,1,,v Pakistan,Colombo (RPS),30 Sep 2012,
T20,Kuldeep Yadav,4.0,0,16,2,4.0,1,,v Australia,Ranchi,7 Oct 2017,
T20,HH Pandya,4.0,0,16,2,4.0,2,,v England,Ahmedabad,18 Mar 2021,
T20,HH Pandya,3.0,0,16,2,5.33,2,,v Zimbabwe,Melbourne,6 Nov 2022,
T20,Arshdeep Singh,3.0,0,16,2,5.33,2,,v New Zealand,Ahmedabad,1 Feb 2023,
T20,HH Pandya,3.0,1,16,2,5.33,2,,v Pakistan,Colombo (RPS),15 Feb 2026,
T20,IK Pathan,3.0,0,17,2,5.66,2,,v England,Colombo (RPS),23 Sep 2012,
T20,JJ Bumrah,3.0,0,17,2,5.66,2,,v Sri Lanka,Ranchi,12 Feb 2016,
T20,JJ Bumrah,3.0,0,17,2,5.66,1,,v Australia,Ranchi,7 Oct 2017,
T20,Ravi Bishnoi,4.0,0,17,2,4.25,1,,v West Indies,Eden Gardens,16 Feb 2022,
T20,Avesh Khan,4.0,0,17,2,4.25,2,,v West Indies,Lauderhill,6 Aug 2022,
T20,AR Patel,4.0,0,17,2,4.25,1,,v Afghanistan,Indore,14 Jan 2024,
T20,Arshdeep Singh,4.0,0,17,2,4.25,1,,v England,Eden Gardens,22 Jan 2025,
T20,JJ Bumrah,3.0,0,17,2,5.66,2,,v South Africa,Cuttack,9 Dec 2025,
T20,JJ Bumrah,4.0,0,17,2,4.25,2,,v South Africa,Ahmedabad,19 Dec 2025,
T20,JJ Bumrah,2.0,0,17,2,8.5,2,,v Pakistan,Colombo (RPS),15 Feb 2026,
T20,CV Varun,3.0,0,17,2,5.66,2,,v Pakistan,Colombo (RPS),15 Feb 2026,
T20,PP Ojha,4.0,0,18,2,4.5,1,,v Ireland,Nottingham,10 Jun 2009,
T20,AB Dinda,3.0,0,18,2,6.0,1,,v England,Pune,20 Dec 2012,
T20,A Mishra,4.0,0,18,2,4.5,1,,v West Indies,Mirpur,23 Mar 2014,
T20,Kuldeep Yadav,4.0,0,18,2,4.5,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,NA Saini,4.0,0,18,2,4.5,1,,v Sri Lanka,Indore,7 Jan 2020,
T20,RA Jadeja,4.0,0,18,2,4.5,1,,v New Zealand,Auckland,26 Jan 2020,
T20,Arshdeep Singh,3.3,1,18,2,5.14,2,,v England,Southampton,7 Jul 2022,
T20,AR Patel,4.0,0,18,2,4.5,2,,v Netherlands,Sydney,27 Oct 2022,
T20,JJ Bumrah,4.0,0,18,2,4.5,2,,v South Africa,Bridgetown,29 Jun 2024,
T20,AR Patel,4.0,0,18,2,4.5,1,,v Pakistan,Dubai (DICS),14 Sep 2025,
T20,JJ Bumrah,4.0,0,18,2,4.5,2,,v Bangladesh,Dubai (DICS),24 Sep 2025,
T20,Ravi Bishnoi,4.0,0,18,2,4.5,1,,v New Zealand,Guwahati,25 Jan 2026,
T20,Arshdeep Singh,4.0,0,18,2,4.5,2,,v U.S.A.,Wankhede,7 Feb 2026,
T20,JJ Bumrah,4.0,1,19,2,4.75,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,UT Yadav,2.0,0,19,2,9.5,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,B Kumar,4.0,0,19,2,4.75,1,,v West Indies,Lauderhill,3 Aug 2019,
T20,SN Thakur,3.0,0,19,2,6.33,2,,v Sri Lanka,Pune,10 Jan 2020,
T20,JJ Bumrah,4.0,0,19,2,4.75,2,,v New Zealand,Dubai (DICS),31 Oct 2021,
T20,JJ Bumrah,4.0,0,19,2,4.75,1,,v Namibia,Dubai (DICS),8 Nov 2021,
T20,YS Chahal,3.0,0,19,2,6.33,2,,v West Indies,Providence,6 Aug 2023,
T20,CV Varun,4.0,0,19,2,4.75,2,,v Bangladesh,Delhi,9 Oct 2024,
T20,CV Varun,3.0,1,19,2,6.33,2,,v South Africa,Cuttack,9 Dec 2025,
T20,IK Pathan,4.0,1,20,2,5.0,2,,v Pakistan,Durban,14 Sep 2007,
T20,Joginder Sharma,3.3,0,20,2,5.71,2,,v Pakistan,Johannesburg,24 Sep 2007,
T20,Yuvraj Singh,2.0,0,20,2,10.0,1,,v Australia,Bridgetown,7 May 2010,
T20,R Ashwin,4.0,0,20,2,5.0,2,,v Afghanistan,Colombo (RPS),19 Sep 2012,
T20,R Ashwin,4.0,0,20,2,5.0,2,,v Bangladesh,Bengaluru,23 Mar 2016,
T20,JJ Bumrah,4.0,0,20,2,5.0,2,,v England,Nagpur,29 Jan 2017,
T20,Kuldeep Yadav,4.0,0,20,2,5.0,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,AR Patel,4.0,0,20,2,5.0,2,,v New Zealand,Delhi,1 Nov 2017,
T20,JJ Bumrah,4.0,0,20,2,5.0,2,,v West Indies,Lucknow,6 Nov 2018,
T20,B Kumar,3.0,0,20,2,6.66,1,,v Australia,Melbourne,23 Nov 2018,
T20,DL Chahar,4.0,0,20,2,5.0,2,,v West Indies,Wankhede,11 Dec 2019,
T20,T Natarajan,4.0,0,20,2,5.0,1,,v Australia,Sydney,6 Dec 2020,
