Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,RG Sharma,DNB,-,-,-,-,2,,v Sri Lanka,Indore,22 Dec 2017,
T20,MK Pandey,DNB,-,-,-,-,2,,v Sri Lanka,Indore,22 Dec 2017,
T20,KL Rahul,DNB,-,-,-,-,2,,v Sri Lanka,Indore,22 Dec 2017,
T20,SS Iyer,DNB,-,-,-,-,2,,v Sri Lanka,Indore,22 Dec 2017,
T20,MS Dhoni,DNB,-,-,-,-,1,,v Sri Lanka,Wankhede,24 Dec 2017,
T20,KD Karthik,DNB,-,-,-,-,1,,v Sri Lanka,Wankhede,24 Dec 2017,
T20,RG Sharma,DNB,-,-,-,-,1,,v Sri Lanka,Wankhede,24 Dec 2017,
T20,MK Pandey,DNB,-,-,-,-,1,,v Sri Lanka,Wankhede,24 Dec 2017,
T20,KL Rahul,DNB,-,-,-,-,1,,v Sri Lanka,Wankhede,24 Dec 2017,
T20,SS Iyer,DNB,-,-,-,-,1,,v Sri Lanka,Wankhede,24 Dec 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,SK Raina,DNB,-,-,-,-,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,V Kohli,DNB,-,-,-,-,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,MS Dhoni,DNB,-,-,-,-,2,,v South Africa,Centurion,21 Feb 2018,
T20,SK Raina,DNB,-,-,-,-,2,,v South Africa,Centurion,21 Feb 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v South Africa,Centurion,21 Feb 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v South Africa,Centurion,21 Feb 2018,
T20,V Kohli,DNB,-,-,-,-,2,,v South Africa,Centurion,21 Feb 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v South Africa,Centurion,21 Feb 2018,
T20,MS Dhoni,DNB,-,-,-,-,2,,v South Africa,Cape Town,24 Feb 2018,
T20,KD Karthik,DNB,-,-,-,-,2,,v South Africa,Cape Town,24 Feb 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v South Africa,Cape Town,24 Feb 2018,
