match_id,start_date,venue,venue_type,era_label,win_loss_flag,format,india_runs,india_balls,india_sr,india_boundaries,india_bat_first,india_first_innings_score,india_bowl_econ,india_bowl_wkts,india_dbp
239918,2006-05-26,"Queen's Park Oval, Port of Spain",Away,Early 2000s,0.0,ODI,201,300,67.0,20,1,201,4.955,4,0.625
239919,2006-05-28,"Queen's Park Oval, Port of Spain",Away,Early 2000s,0.0,ODI,216,288,75.0,22,0,0,5.1,6,0.4867
244510,2006-04-18,Sheikh Zayed Stadium,Away,Early 2000s,0.0,ODI,189,300,63.0,14,1,189,4.144,4,0.6254
244511,2006-04-19,Sheikh Zayed Stadium,Away,Early 2000s,1.0,ODI,261,300,87.0,30,1,261,4.809,10,0.5404
247464,2007-03-17,"Queen's Park Oval, Port of Spain",Away,Early 2000s,0.0,ODI,175,297,58.92,15,1,175,3.959,5,0.6838
247468,2007-03-19,"Queen's Park Oval, Port of Spain",Away,Early 2000s,1.0,ODI,378,298,126.85,47,1,378,3.614,10,0.722
247476,2007-03-23,"Queen's Park Oval, Port of Spain",Away,Early 2000s,0.0,ODI,177,261,67.82,18,0,0,5.08,6,0.5133
249211,2006-11-22,Kingsmead,Away,Early 2000s,0.0,ODI,88,175,50.29,13,0,0,4.96,8,0.5433
249212,2006-11-26,Newlands,Away,Early 2000s,0.0,ODI,163,249,65.46,19,0,0,5.48,7,0.5833
249213,2006-11-29,St George's Park,Away,Early 2000s,0.0,ODI,151,229,65.94,23,0,0,4.86,8,0.5233
249214,2006-12-03,SuperSport Park,Away,Early 2000s,0.0,ODI,187,300,62.33,21,1,187,6.415,1,0.516
249745,2006-10-15,Sawai Mansingh Stadium,Home,Early 2000s,1.0,ODI,107,177,60.45,17,0,0,3.378,10,0.7252
249753,2006-10-26,"Sardar Patel Stadium, Motera",Home,Early 2000s,0.0,ODI,208,300,69.33,22,1,208,4.51,7,0.604
249756,2006-10-29,"Punjab Cricket Association Stadium, Mohali",Home,Early 2000s,0.0,ODI,231,300,77.0,27,1,231,5.518,4,0.5803
256607,2006-09-14,Kinrara Academy Oval,Away,Early 2000s,1.0,ODI,277,300,92.33,34,1,277,7.05,2,0.625
256608,2006-09-16,Kinrara Academy Oval,Away,Early 2000s,0.0,ODI,27,48,56.25,4,0,0,4.946,10,0.5574
256612,2006-09-20,Kinrara Academy Oval,Away,Early 2000s,1.0,ODI,140,237,59.07,16,1,140,3.561,10,0.7114
256614,2006-09-22,Kinrara Academy Oval,Away,Early 2000s,0.0,ODI,168,262,64.12,13,0,0,4.422,10,0.6125
256665,2006-08-18,Sinhalese Sports Club Ground,Away,Early 2000s,1.0,ODI,11,22,50.0,2,1,11,,0,
258471,2007-08-21,The Rose Bowl,Away,Early 2000s,0.0,ODI,164,300,54.67,13,0,0,5.76,2,0.44
258472,2007-08-24,County Ground,Away,Early 2000s,1.0,ODI,304,300,101.33,43,1,304,6.4,8,0.5467
258473,2007-08-27,Edgbaston,Away,Early 2000s,0.0,ODI,224,289,77.51,26,0,0,5.62,8,0.4667
258474,2007-08-30,Old Trafford,Away,Early 2000s,0.0,ODI,199,298,66.78,24,1,199,4.438,7,0.6528
258475,2007-09-02,Headingley,Away,Early 2000s,1.0,ODI,307,301,101.99,47,1,307,6.205,8,0.4274
258476,2007-09-05,Kennington Oval,Away,Early 2000s,1.0,ODI,299,298,100.34,41,0,0,6.32,6,0.5033
258477,2007-09-08,Lord's,Away,Early 2000s,0.0,ODI,175,285,61.4,17,1,175,5.174,3,0.6376
267708,2007-01-27,"MA Chidambaram Stadium, Chepauk",Home,Early 2000s,0.0,ODI,239,288,82.99,26,1,239,6.183,7,0.5534
267709,2007-01-31,Indian Petrochemicals Corporation Limited Sports Complex Ground,Away,Early 2000s,1.0,ODI,314,300,104.67,36,1,314,4.344,10,0.608
267710,2007-02-08,Eden Gardens,Home,Early 2000s,0.0,ODI,0,0,,0,0,0,5.564,3,0.6727
267712,2007-02-11,Madhavrao Scindia Cricket Ground,Away,Early 2000s,0.0,ODI,230,300,76.67,23,0,0,5.14,8,0.5467
267713,2007-02-17,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Home,Early 2000s,1.0,ODI,252,245,102.86,37,0,0,5.511,7,0.5213
267715,2007-02-14,"Nehru Stadium, Fatorda",Away,Early 2000s,1.0,ODI,219,278,78.78,23,0,0,4.6,8,0.58
275789,2007-08-16,Titwood,Away,Early 2000s,1.0,ODI,202,239,84.52,28,0,0,4.413,9,0.6304
282688,2007-05-10,Shere Bangla National Stadium,Away,Early 2000s,1.0,ODI,240,276,86.96,26,0,0,5.319,7,0.5106
282689,2007-05-12,Shere Bangla National Stadium,Away,Early 2000s,1.0,ODI,262,294,89.12,27,1,262,4.857,9,0.6054
291359,2008-02-03,"Brisbane Cricket Ground, Woolloongabba",Away,Transition Era,1.0,ODI,181,270,67.04,16,1,181,6.955,3,0.6818
291360,2008-02-05,"Brisbane Cricket Ground, Woolloongabba",Away,Transition Era,1.0,ODI,260,300,86.67,22,1,260,,0,
291362,2008-02-10,Melbourne Cricket Ground,Away,Transition Era,1.0,ODI,153,275,55.64,12,0,0,3.683,10,0.6255
291365,2008-02-17,Adelaide Oval,Away,Transition Era,0.0,ODI,142,248,57.26,12,0,0,4.06,9,0.5667
291366,2008-02-19,Adelaide Oval,Away,Transition Era,1.0,ODI,215,295,72.88,18,0,0,4.76,6,0.49
291368,2008-02-24,Sydney Cricket Ground,Away,Transition Era,0.0,ODI,272,295,92.2,28,0,0,6.319,7,0.4053
291369,2008-02-26,Bellerive Oval,Away,Transition Era,1.0,ODI,176,194,90.72,22,0,0,3.795,10,0.6678
291371,2008-03-02,Sydney Cricket Ground,Away,Transition Era,1.0,ODI,228,275,82.91,22,0,0,4.78,8,0.52
291372,2008-03-04,"Brisbane Cricket Ground, Woolloongabba",Away,Transition Era,1.0,ODI,241,300,80.33,19,1,241,5.013,10,0.5336
293071,2007-06-23,"Civil Service Cricket Club, Stormont",Away,Early 2000s,0.0,ODI,157,209,75.12,17,0,0,3.86,10,0.66
293076,2007-06-26,"Civil Service Cricket Club, Stormont",Away,Early 2000s,0.0,ODI,229,300,76.33,23,1,229,4.949,6,0.5185
293077,2007-06-29,"Civil Service Cricket Club, Stormont",Away,Early 2000s,1.0,ODI,218,295,73.9,25,0,0,4.52,6,0.5667
293078,2007-07-01,"Civil Service Cricket Club, Stormont",Away,Early 2000s,1.0,ODI,142,182,78.02,19,0,0,4.774,7,0.5376
297793,2007-09-29,M Chinnaswamy Stadium,Home,Early 2000s,0.0,ODI,4,16,25.0,1,0,0,6.14,7,0.4733
297794,2007-10-02,Nehru Stadium,Away,Early 2000s,0.0,ODI,195,285,68.42,21,0,0,6.12,6,0.4733
297795,2007-10-05,"Rajiv Gandhi International Stadium, Uppal",Home,Early 2000s,0.0,ODI,230,286,80.42,27,0,0,5.8,7,0.47
297796,2007-10-08,Sector 16 Stadium,Away,Early 2000s,1.0,ODI,252,300,84.0,32,1,252,5.66,7,0.4633
297797,2007-10-11,Reliance Stadium,Away,Early 2000s,0.0,ODI,128,238,53.78,18,1,128,5.768,1,0.5355
297798,2007-10-14,Vidarbha Cricket Association Ground,Home,Early 2000s,0.0,ODI,279,300,93.0,36,0,0,6.34,8,0.4967
297799,2007-10-17,Wankhede Stadium,Home,Early 2000s,1.0,ODI,159,276,57.61,21,0,0,4.573,10,0.6815
297801,2007-11-05,Nehru Stadium,Away,Early 2000s,1.0,ODI,224,282,79.43,33,0,0,4.78,7,0.5167
297802,2007-11-08,"Punjab Cricket Association Stadium, Mohali",Home,Early 2000s,0.0,ODI,279,298,93.62,32,1,279,6.462,6,0.4281
297803,2007-11-11,Green Park,Home,Early 2000s,1.0,ODI,265,300,88.33,28,1,265,5.239,10,0.5352
297804,2007-11-15,Captain Roop Singh Stadium,Away,Early 2000s,1.0,ODI,246,279,88.17,31,0,0,5.1,6,0.4833
297805,2007-11-18,Sawai Mansingh Stadium,Home,Early 2000s,0.0,ODI,260,298,87.25,27,0,0,6.12,6,0.4433
335349,2008-06-25,National Stadium,Away,Transition Era,1.0,ODI,365,300,121.67,47,1,365,3.204,10,0.7647
335351,2008-06-26,National Stadium,Away,Transition Era,1.0,ODI,286,253,113.04,37,0,0,5.98,5,0.4333
335352,2008-06-28,National Stadium,Away,Transition Era,1.0,ODI,266,260,102.31,32,0,0,5.66,6,0.5333
335355,2008-07-02,National Stadium,Away,Transition Era,0.0,ODI,295,300,98.33,29,1,295,6.791,3,0.381
335356,2008-07-03,National Stadium,Away,Transition Era,1.0,ODI,289,281,102.85,33,0,0,6.16,8,0.4267
335358,2008-07-06,National Stadium,Away,Transition Era,0.0,ODI,170,237,71.73,23,0,0,5.478,10,0.4783
343732,2008-08-18,Rangiri Dambulla International Stadium,Away,Transition Era,0.0,ODI,139,276,50.36,11,1,139,4.22,2,0.6029
343733,2008-08-20,Rangiri Dambulla International Stadium,Away,Transition Era,1.0,ODI,132,238,55.46,15,0,0,3.688,10,0.684
343734,2008-08-24,R Premadasa Stadium,Away,Transition Era,1.0,ODI,217,300,72.33,21,1,217,4.163,10,0.585
343736,2008-08-29,R Premadasa Stadium,Away,Transition Era,0.0,ODI,96,159,60.38,13,0,0,4.54,6,0.5667
345469,2008-06-10,Shere Bangla National Stadium,Away,Transition Era,1.0,ODI,292,300,97.33,34,1,292,5.327,10,0.5748
345470,2008-06-12,Shere Bangla National Stadium,Away,Transition Era,1.0,ODI,218,211,103.32,27,0,0,4.47,10,0.4866
345471,2008-06-14,Shere Bangla National Stadium,Away,Transition Era,0.0,ODI,270,290,93.1,29,0,0,6.3,4,0.4333
361043,2008-11-14,Madhavrao Scindia Cricket Ground,Away,Transition Era,1.0,ODI,367,300,122.33,51,1,367,6.08,10,0.4779
361044,2008-11-17,Maharani Usharaje Trust Cricket Ground,Away,Transition Era,1.0,ODI,274,300,91.33,32,1,274,5.064,10,0.5851
361045,2008-11-20,Green Park,Home,Transition Era,0.0,ODI,190,240,79.17,24,0,0,4.948,10,0.5361
361046,2008-11-23,M Chinnaswamy Stadium,Home,Transition Era,0.0,ODI,160,132,121.21,26,1,160,8.091,8,0.3333
361047,2008-11-26,Barabati Stadium,Home,Transition Era,1.0,ODI,258,262,98.47,36,0,0,5.4,4,0.4633
366341,2008-08-27,R Premadasa Stadium,Away,Transition Era,1.0,ODI,247,298,82.89,19,1,247,4.559,10,0.5771
366623,2009-03-03,McLean Park,Away,Transition Era,1.0,ODI,269,228,117.98,32,1,269,5.786,9,0.4167
366624,2009-03-11,Seddon Park,Away,Transition Era,0.0,ODI,188,141,133.33,26,0,0,5.745,5,0.4894
366625,2009-03-14,Eden Park,Away,Transition Era,0.0,ODI,131,219,59.82,11,1,131,6.471,2,0.5643
366626,2009-03-06,Westpac Stadium,Away,Transition Era,1.0,ODI,181,172,105.23,24,1,181,,0,
366627,2009-03-08,AMI Stadium,Away,Transition Era,1.0,ODI,375,300,125.0,50,1,375,7.395,10,0.428
377313,2009-06-26,"Sabina Park, Kingston",Away,Transition Era,1.0,ODI,317,300,105.67,34,1,317,6.623,10,0.4083
377314,2009-06-28,"Sabina Park, Kingston",Away,Transition Era,0.0,ODI,172,290,59.31,17,1,172,5.62,2,0.4537
377315,2009-07-03,"Beausejour Stadium, Gros Islet",Away,Transition Era,0.0,ODI,151,131,115.27,11,0,0,6.889,7,0.4136
377316,2009-07-05,"Beausejour Stadium, Gros Islet",Away,Transition Era,0.0,ODI,0,0,,0,0,0,3.6,1,0.6444
386530,2009-01-28,Rangiri Dambulla International Stadium,Away,Transition Era,1.0,ODI,230,289,79.58,19,0,0,4.92,7,0.5033
386531,2009-01-31,R Premadasa Stadium,Away,Transition Era,1.0,ODI,246,300,82.0,24,1,246,4.885,10,0.4899
386532,2009-02-03,R Premadasa Stadium,Away,Transition Era,1.0,ODI,353,300,117.67,47,1,353,5.184,10,0.516
386533,2009-02-05,R Premadasa Stadium,Away,Transition Era,1.0,ODI,307,300,102.33,28,1,307,5.521,10,0.4931
386534,2009-02-08,R Premadasa Stadium,Away,Transition Era,0.0,ODI,242,293,82.59,25,0,0,6.4,8,0.43
403381,2009-09-12,R Premadasa Stadium,Away,Transition Era,0.0,ODI,152,224,67.86,17,0,0,6.14,6,0.4367
403382,2009-09-11,R Premadasa Stadium,Away,Transition Era,1.0,ODI,152,243,62.55,18,0,0,3.333,10,0.6308
403383,2009-09-14,R Premadasa Stadium,Away,Transition Era,1.0,ODI,299,300,99.67,25,1,299,5.85,10,0.4571
415278,2009-09-26,SuperSport Park,Away,Transition Era,0.0,ODI,226,269,84.01,23,0,0,6.04,9,0.4467
415281,2009-09-28,SuperSport Park,Away,Transition Era,0.0,ODI,0,0,,0,0,0,5.506,4,0.4235
415284,2009-09-30,New Wanderers Stadium,Away,Transition Era,1.0,ODI,123,193,63.73,17,0,0,3.583,10,0.662
416236,2009-10-25,Reliance Stadium,Away,Transition Era,0.0,ODI,264,300,88.0,33,0,0,5.84,8,0.4967
416237,2009-10-28,"Vidarbha Cricket Association Stadium, Jamtha",Home,Transition Era,1.0,ODI,331,300,110.33,36,1,331,5.258,10,0.4845
416238,2009-10-31,Feroz Shah Kotla,Home,Transition Era,1.0,ODI,207,290,71.38,20,0,0,4.58,5,0.4767
416239,2009-11-02,"Punjab Cricket Association Stadium, Mohali",Home,Transition Era,0.0,ODI,199,280,71.07,27,0,0,5.068,10,0.473
416240,2009-11-05,"Rajiv Gandhi International Stadium, Uppal",Home,Transition Era,0.0,ODI,330,298,110.74,41,0,0,7.0,4,0.3833
416241,2009-11-08,Nehru Stadium,Away,Transition Era,0.0,ODI,161,288,55.9,19,1,161,4.112,4,0.6056
430886,2009-12-15,Madhavrao Scindia Cricket Ground,Away,Transition Era,1.0,ODI,387,300,129.0,55,1,387,8.22,8,0.3167
430887,2009-12-18,"Vidarbha Cricket Association Stadium, Jamtha",Home,Transition Era,0.0,ODI,290,300,96.67,31,1,290,6.142,7,0.3661
430888,2009-12-21,Barabati Stadium,Home,Transition Era,1.0,ODI,227,255,89.02,33,0,0,5.391,10,0.5113
430889,2009-12-24,Eden Gardens,Home,Transition Era,1.0,ODI,294,289,101.73,32,0,0,6.3,6,0.4567
430890,2009-12-27,Feroz Shah Kotla,Home,Transition Era,0.0,ODI,0,0,,0,0,0,3.532,5,0.7021
433558,2011-02-19,Shere Bangla National Stadium,Away,Transition Era,1.0,ODI,350,300,116.67,36,1,350,5.66,9,0.44
433578,2011-03-06,M Chinnaswamy Stadium,Home,Transition Era,1.0,ODI,201,276,72.83,20,0,0,4.343,10,0.5664
433582,2011-03-09,Feroz Shah Kotla,Home,Transition Era,1.0,ODI,187,219,85.39,29,0,0,4.05,10,0.6179
433586,2011-03-12,"Vidarbha Cricket Association Stadium, Jamtha",Home,Transition Era,0.0,ODI,281,292,96.23,31,1,281,6.04,7,0.3893
433599,2011-03-20,"MA Chidambaram Stadium, Chepauk",Home,Transition Era,1.0,ODI,252,295,85.42,25,1,252,4.372,10,0.5465
433601,2011-03-24,"Sardar Patel Stadium, Motera",Home,Transition Era,1.0,ODI,240,286,83.92,24,0,0,5.2,6,0.4933
433605,2011-03-30,"Punjab Cricket Association Stadium, Mohali",Home,Transition Era,1.0,ODI,242,300,80.67,30,1,242,4.635,10,0.5619
433606,2011-04-02,Wankhede Stadium,Home,Transition Era,1.0,ODI,262,290,90.34,27,0,0,5.48,6,0.48
434259,2010-01-05,Shere Bangla National Stadium,Away,Transition Era,0.0,ODI,257,299,85.95,30,1,257,5.896,5,0.4965
434260,2010-01-07,Shere Bangla National Stadium,Away,Transition Era,1.0,ODI,275,285,96.49,26,0,0,5.92,6,0.5
434262,2010-01-10,Shere Bangla National Stadium,Away,Transition Era,1.0,ODI,198,196,101.02,28,0,0,4.614,10,0.6137
434263,2010-01-11,Shere Bangla National Stadium,Away,Transition Era,1.0,ODI,240,258,93.02,25,0,0,4.94,6,0.5667
434264,2010-01-13,Shere Bangla National Stadium,Away,Transition Era,0.0,ODI,235,290,81.03,24,1,235,5.134,6,0.5223
441827,2010-02-21,Sawai Mansingh Stadium,Home,Transition Era,1.0,ODI,278,300,92.67,31,1,278,5.94,10,0.48
441828,2010-02-24,Captain Roop Singh Stadium,Away,Transition Era,1.0,ODI,392,300,130.67,53,1,392,5.79,10,0.5331
441829,2010-02-27,"Sardar Patel Stadium, Motera",Home,Transition Era,0.0,ODI,266,267,99.63,27,0,0,7.3,2,0.34
452146,2010-05-28,Queens Sports Club,Away,Transition Era,0.0,ODI,254,299,84.95,22,1,254,5.979,4,0.4207
452147,2010-05-30,Queens Sports Club,Away,Transition Era,1.0,ODI,239,261,91.57,19,0,0,4.856,10,0.505
452149,2010-06-03,Harare Sports Club,Away,Transition Era,0.0,ODI,180,300,60.0,12,1,180,5.139,3,0.5304
452150,2010-06-05,Harare Sports Club,Away,Transition Era,0.0,ODI,256,300,85.33,27,1,256,5.586,4,0.5034
455232,2010-06-16,Rangiri Dambulla International Stadium,Away,Transition Era,1.0,ODI,143,184,77.72,12,0,0,4.794,10,0.6364
455234,2010-06-19,Rangiri Dambulla International Stadium,Away,Transition Era,1.0,ODI,247,299,82.61,20,0,0,5.394,10,0.4848
455236,2010-06-22,Rangiri Dambulla International Stadium,Away,Transition Era,0.0,ODI,203,255,79.61,24,1,203,5.627,3,0.5511
455237,2010-06-24,Rangiri Dambulla International Stadium,Away,Transition Era,1.0,ODI,249,300,83.0,25,1,249,4.187,10,0.6119
456662,2010-08-10,Rangiri Dambulla International Stadium,Away,Transition Era,0.0,ODI,79,177,44.63,10,0,0,5.898,10,0.4744
